case_id,prompt,안_A,안_A_근거,안_A_신뢰도,안_A_표시,안_B,안_B_근거,안_B_신뢰도,안_B_표시,검토_선택,최종_답,검토_메모,검토_시작_시각,검토_종료_시각
kpi4-001,"Amlodipine 복용 중입니다. 「대사 및 순환 6. 당독소(AGEs) 관리」에서 「1. 생성 억제 (당화 차단)」이 목표인데, 무엇을 어떻게 먹어야 하나요?",berberine|vitamin_b_complex,"당화 산물은 혈당 노출량에 비례해 쌓인다. 어휘 안에서는 berberine이 공복·식후 혈당을 낮춰 당화 부하를 줄이고, vitamin_b_complex의 티아민 유도체가 당화 경로 차단 근거를 갖는다. 암로디핀은 영양소를 고갈시키지 않아 별도 보충 조정이 필요 없다.",0.5,low_evidence_goal,advise_professional_consult,Medication and glycemic supplements require clinician review.,0.86,medication_review,,,,,
kpi4-002,「대사 및 순환 6. 당독소(AGEs) 관리」에서 「3. 장내 배출 (내독소 제거)」이 목표입니다. 어떤 성분이 근거가 있나요?,probiotics|soluble_fiber,장내 배출·내독소 제거 목표는 세균총 교정과 수용성 식이섬유의 흡착·배설 작용에 그대로 대응한다.,0.7,,soluble_fiber,Soluble fiber can support bowel and gut health.,0.7,,,,,,
kpi4-003,「기타 3. 어린이」에서 「A형 성장 정체 및 유전형 (성장판 자원 부족)」이 목표입니다. 어떤 성분이 근거가 있나요?,calcium_citrate|vitamin_d3|zinc,"성장판 자원 부족형은 뼈 기질 재료를 채우는 문제다. 칼슘·비타민 D가 골 무기질화를, 아연이 성장호르몬·IGF-1 축을 맡는다.",0.6,pediatric_dose_caution,advise_professional_consult,Child growth concerns need clinical assessment first.,0.94,growth_concern|pediatric,,,,,
kpi4-004,"Atorvastatin 복용 중입니다. 「기타 3. 어린이」에서 「B형 생활 습관/호르몬형 (수면/운동 부족)」이 목표인데, 무엇을 어떻게 먹어야 하나요?",coq10|magnesium_glycinate|supplement_depleted_nutrient|vitamin_d3,"성장호르몬은 서파수면에 몰려 분비된다. 마그네슘이 입면과 수면 질을, 비타민 D가 골 성장과 근기능을 받친다. 성분보다 수면·활동 습관 교정이 앞선다. 스타틴은 CoQ10 합성을 함께 줄인다. 근육 증상 여부와 무관하게 CoQ10 보충을 얹는다.",0.5,low_evidence_goal|pediatric_dose_caution|statin_coq10_depletion,advise_professional_consult,Child hormonal or lifestyle concerns need clinical assessment.,0.93,medication_review|pediatric,,,,,
kpi4-005,"「기타 3. 어린이」에서 「C형 영양 불균형/흡수부족형 (식욕부진, 편식)」이 목표입니다. 어떤 성분이 근거가 있나요?",probiotics|zinc,아연 결핍은 미각 저하와 식욕부진의 대표 원인이다. 프로바이오틱스가 편식으로 무너진 장내 환경을 보완한다.,0.65,pediatric_dose_caution,supplement_depleted_nutrient,Assess likely nutrient gaps individually before supplementation.,0.66,pediatric,,,,,
kpi4-006,"「기타 3. 어린이」에서 「D+E형 스트레스/성조숙형 (심리 불안, 조기 사춘기)」이 목표입니다. 어떤 성분이 근거가 있나요?",advise_professional_consult|l_theanine|magnesium_glycinate,심리 불안 축에는 테아닌·마그네슘의 이완 근거를 쓴다. 조기 사춘기 자체는 보충제가 아니라 내분비 평가 대상이다. 성분만으로 끝낼 사안이 아니라 의료 상담을 함께 붙인다.,0.45,low_evidence_goal|pediatric_dose_caution|red_flag_medical_referral,advise_professional_consult,Possible precocious puberty requires specialist assessment.,0.95,endocrine_concern|pediatric,,,,,
kpi4-007,"Esomeprazole 복용 중입니다. 「신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별」에서 「1. 기억력 강화 및 뇌세포 보호 (문항 1,2,3번)」이 목표인데, 무엇을 어떻게 먹어야 하나요?",omega3|supplement_depleted_nutrient|vitamin_b_complex,DHA는 신경세포막을 구성한다. 기억·뇌세포 보호 목표에 가장 직접 대응하는 성분이다. PPI는 위산을 낮춰 비타민 B12·마그네슘·칼슘·아연 상태를 떨어뜨린다. 칼슘은 위산에 덜 의존하는 구연산염 형태로 간다.,0.7,ppi_b12_depletion,supplement_depleted_nutrient,Review nutrient status and assess cognitive symptoms clinically.,0.75,cognitive_symptom|medication_review,,,,,
kpi4-008,"「신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별」에서 「3. 지남력 강화 및 신경 보호 (문항 6,7번)」이 목표입니다. 어떤 성분이 근거가 있나요?",omega3|vitamin_b_complex,B12·엽산 결핍은 되돌릴 수 있는 지남력 저하 원인이다. 오메가3가 신경 보호 축을 보탠다.,0.55,low_evidence_goal,omega3,Omega-3 may support vascular and neurologic health.,0.55,cognitive_symptom,,,,,
kpi4-009,"「신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별」에서 「4. 감정 조절 및 가성치매 방지 (문항 9,10번)」이 목표입니다. 어떤 성분이 근거가 있나요?",omega3|vitamin_d3,가성치매는 우울이 인지 저하로 보이는 상태다. EPA 우세 오메가3와 비타민 D가 우울 지표 개선 근거를 갖는다.,0.5,low_evidence_goal,l_theanine,L-theanine may support relaxation; persistent symptoms need assessment.,0.61,mental_health,,,,,
kpi4-010,"Furosemide 복용 중입니다. 「신경계 및 뇌기능 6. 일시적 인지저하와 치매 선별」에서 「5. 인지저하 전반적 용도」이 목표인데, 무엇을 어떻게 먹어야 하나요?",magnesium_glycinate|omega3|supplement_depleted_nutrient|vitamin_b_complex,전반 용도에는 신경막 구성(오메가3)과 호모시스테인·신경전달물질 대사(B군)를 함께 둔다. 루프 이뇨제는 마그네슘·칼륨·칼슘·티아민·아연을 소변으로 함께 내보낸다. 전해질 확인과 보충이 같이 간다.,0.55,loop_diuretic_depletion|loop_diuretic_thiamine_depletion,supplement_depleted_nutrient,Diuretic use warrants electrolyte and nutrient review.,0.7,cognitive_symptom|medication_review,,,,,
kpi4-011,「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「1. 혈관/대사 - 혈관 내피 기능 및 인슐린 감수성 개선」이 목표입니다. 어떤 성분이 근거가 있나요?,berberine|omega3,"인슐린 감수성은 berberine이, 혈관 내피 기능은 오메가3가 맡는다.",0.55,,omega3,Omega-3 is a supportive option for vascular health.,0.64,,,,,,
kpi4-012,「신경계 및 뇌기능 7. 인지기능 저하 요인」에서 「2. 수면 - 수면 리듬 조절 및 신경 이완」이 목표입니다. 어떤 성분이 근거가 있나요?,l_theanine|magnesium_glycinate,"테아닌이 각성을 누르고, 마그네슘 글리시네이트가 GABA계 이완과 입면 지연 단축을 맡는다.",0.8,,l_theanine,L-theanine may support relaxation and sleep readiness.,0.68,,,,,,
