case_id,prompt,안_A,안_A_근거,안_A_신뢰도,안_A_표시,안_B,안_B_근거,안_B_신뢰도,안_B_표시,검토_선택,최종_답,검토_메모,검토_시작_시각,검토_종료_시각
kpi5-ref-001,Amlodipine 복용자에게 magnesium_glycinate 는 어떤 관계인가?,depletion|magnesium_glycinate,"이뇨제, ACEI/ARB 병용 시 전해질 이상 누적 주의. (44_부록_A._약물_유발_영양소_고갈.md p237)",,,absorption_interaction|마그네슘,"암로디핀은 마그네슘을 고갈시키지 않는다. 두 가지 모두 혈관을 이완시켜 혈압 강하가 겹치는 약력학적 상호작용이라, 남은 두 라벨 중에서는 상호작용 쪽에 붙인다. 라벨 선택 자체가 불확실하다.",0.35,pharmacodynamic_not_depletion|relation_label_ambiguous,,,,,
kpi5-ref-002,Atorvastatin 복용자에게 coq10 는 어떤 관계인가?,coq10|depletion,"• 근육통, 피로, 심부전 환자에서 CoQ10 고려 • 근골격통, Vit D 혈중농도 저하 의심 시 25(OH)D 검사. (44_부록_A._약물_유발_영양소_고갈.md p236)",,,depletion|코엔자임Q10,스타틴이 메발론산 경로를 막으면 콜레스테롤과 CoQ10 합성이 함께 줄어든다. 대표적인 약물 유발 고갈이다.,0.9,,,,,,
kpi5-ref-003,Atorvastatin 복용자에게 vitamin_d3 는 어떤 관계인가?,depletion|vitamin_d3,"• 근육통, 피로, 심부전 환자에서 CoQ10 고려 • 근골격통, Vit D 혈중농도 저하 의심 시 25(OH)D 검사. (44_부록_A._약물_유발_영양소_고갈.md p236)",,,depletion|비타민 D,스타틴과 비타민 D는 같은 전구체를 공유해 고갈 항목으로 자주 실린다. 다만 혈중 25(OH)D가 오히려 오른다는 보고도 있어 방향이 갈린다.,0.5,evidence_contested,,,,,
kpi5-ref-004,Esomeprazole 복용자에게 calcium_citrate 는 어떤 관계인가?,calcium_citrate|depletion,"장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (44_부록_A._약물_유발_영양소_고갈.md p237)",,,absorption_interaction|칼슘,PPI가 위산을 낮추면 탄산칼슘 용해가 떨어진다. 구연산칼슘은 위산에 덜 기대므로 PPI 복용자에게 권하는 형태다. 흡수 조건이 쟁점이라 상호작용으로 본다.,0.7,,,,,,
kpi5-ref-005,Esomeprazole 복용자에게 magnesium_glycinate 는 어떤 관계인가?,depletion|magnesium_glycinate,"장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (44_부록_A._약물_유발_영양소_고갈.md p237)",,,depletion|마그네슘,PPI 장기 복용은 저마그네슘혈증을 부른다. 규제기관 안전성 서한이 나온 항목이다.,0.8,,,,,,
kpi5-ref-006,Esomeprazole 복용자에게 vitamin_b_complex 는 어떤 관계인가?,depletion|vitamin_b_complex,"장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (44_부록_A._약물_유발_영양소_고갈.md p237)",,,depletion|비타민 B12,위산과 펩신이 줄면 음식에 결합된 B12가 떨어져 나오지 못한다. PPI 장기 복용의 대표 고갈 항목이다.,0.85,,,,,,
kpi5-ref-007,Esomeprazole 복용자에게 zinc 는 어떤 관계인가?,depletion|zinc,"장기 사용 시 저Mg, 골다공증, B12·Fe 결핍 모니터링 권장. (44_부록_A._약물_유발_영양소_고갈.md p237)",,,depletion|아연,아연 흡수는 위산에 기댄다. PPI 복용이 길어지면 아연 상태가 떨어진다. 기전은 흡수 저하지만 결과는 체내 고갈로 나타난다.,0.55,mechanism_absorption_mediated,,,,,
kpi5-ref-008,Furosemide 복용자에게 calcium_citrate 는 어떤 관계인가?,calcium_citrate|depletion,"심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (44_부록_A._약물_유발_영양소_고갈.md p236)",,,depletion|칼슘,루프 이뇨제는 헨레고리 상행각의 재흡수를 막아 칼슘을 소변으로 내보낸다.,0.75,,,,,,
kpi5-ref-009,Furosemide 복용자에게 magnesium_glycinate 는 어떤 관계인가?,depletion|magnesium_glycinate,"심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (44_부록_A._약물_유발_영양소_고갈.md p236)",,,depletion|마그네슘,루프 이뇨제의 대표 부작용이 저마그네슘혈증이다. 소변 배설 증가가 직접 원인이다.,0.85,,,,,,
kpi5-ref-010,Furosemide 복용자에게 vitamin_b_complex 는 어떤 관계인가?,depletion|vitamin_b_complex,"심부전·부정맥 환자에서 Mg,K,B1 정기 모니터링. (44_부록_A._약물_유발_영양소_고갈.md p236)",,,depletion|비타민 B1,푸로세미드는 티아민을 소변으로 내보내 심부전 환자의 티아민 결핍을 부른다.,0.75,,,,,,
